"Rank","NamedLiveTarget","AccessStatus","UncoveredTerminals","WhatToOpen","ScanHint","MainFamilies","InternalEvidenceName","InternalEvidencePlayfield"
"1","Omni Basic General Shop / ordinary Omni supermarket","Potentially live-accessible by named shop/area","39","Open every terminal in the shop/area once during one broad capture session.","Go to a named Omni shop of this tier that you can actually reach. Open every terminal once. Do not use old Omni-Trade coordinates.","Implants/clusters (15); Heavenly weapon construction/components/recipes (12); Legacy faction core departments (6); Likely duplicate/obsolete Refreshing Drink (3); Faction clothes/fashion (1)","ord_smarket_omni_basic","1183"
"2","Omni Superior General Shop / ordinary Omni supermarket","Potentially live-accessible by named shop/area","33","Open every terminal in the shop/area once during one broad capture session.","Go to a named Omni shop of this tier that you can actually reach. Open every terminal once. Do not use old Omni-Trade coordinates.","Heavenly weapon construction/components/recipes (12); Likely duplicate/obsolete Refreshing Drink (6); Legacy faction core departments (6); Other unresolved vendor terminal (4); Implants/clusters (2)","ord_smarket_omni_sup","1185"
"3","Clan Basic General Shop / ordinary Clan supermarket","Potentially live-accessible by named shop/area","30","Open every terminal in the shop/area once during one broad capture session.","Go to a named Clan shop of this tier that you can actually reach. Open every terminal once.","Implants/clusters (14); Legacy faction core departments (6); Heavenly weapon construction/components/recipes (6); Clan/Omni device variants (1); Likely duplicate/obsolete Refreshing Drink (1)","ord_smarket_clan_basic","1180"
"4","Omni Advanced General Shop / ordinary Omni supermarket","Potentially live-accessible by named shop/area","29","Open every terminal in the shop/area once during one broad capture session.","Go to a named Omni shop of this tier that you can actually reach. Open every terminal once. Do not use old Omni-Trade coordinates.","Heavenly weapon construction/components/recipes (12); Likely duplicate/obsolete Refreshing Drink (6); Legacy faction core departments (6); Implants/clusters (2); Faction clothes/fashion (1)","ord_smarket_omni_advanced","1184"
"5","Clan Superior General Shop / ordinary Clan supermarket","Potentially live-accessible by named shop/area","20","Open every terminal in the shop/area once during one broad capture session.","Go to a named Clan shop of this tier that you can actually reach. Open every terminal once.","Legacy faction core departments (6); Heavenly weapon construction/components/recipes (6); Other unresolved vendor terminal (2); Clan/Omni device variants (1); Likely duplicate/obsolete Refreshing Drink (1)","ord_smarket_clan_sup","1182"
"6","BS Signup (dng)","Special/dungeon; verify before travel","17","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","OFAB vendors (17)","BS Signup (dng)","6007"
"7","Tower Shop (dungeon)","Special/dungeon; verify before travel","17","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","ICC/tower shop special vendors (16); Containers/computers/furniture/specialty/cars (1)","Tower Shop (dungeon)","4704"
"8","Clan Advanced General Shop / ordinary Clan supermarket","Potentially live-accessible by named shop/area","17","Open every terminal in the shop/area once during one broad capture session.","Go to a named Clan shop of this tier that you can actually reach. Open every terminal once.","Heavenly weapon construction/components/recipes (6); Legacy faction core departments (5); Maps (1); Clan/Omni device variants (1); Likely duplicate/obsolete Refreshing Drink (1)","ord_smarket_clan_advanced","1181"
"9","neut_advanced_implants_shop","Unknown route","12","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Implants/clusters (12)","neut_advanced_implants_shop","2073"
"10","neut_basic_implants_shop","Unknown route","12","Open every terminal in the shop/area once during one broad capture session.","Unknown live route. Do not travel just for this unless you identify the named shop in-game.","Implants/clusters (12)","neut_basic_implants_shop","2064"
