Backlog ID,Priority,Severity,Subsystem,Task,Problem,Proposed owner,Dependencies,Files or symbols,Expected coverage,Risk,Evidence status,Validation,Removal enabled
AR-B001,P0,HIGH,testing,Add architecture ownership guardrails,Regressions can reintroduce per-enemy and embedded-loot branches,AOtomation architecture tests,None,SmokeLounge.AOtomation.Messaging.Tests,All first-party runtime source,LOW,PROVEN,Focused guards plus aggregate wrapper,None
AR-B002,P0,HIGH,loot,Define normalized loot domain,Four incompatible loot sources have implicit precedence,LootDefinitionRepository,AR-B001,New domain files plus schema,All loot categories,MEDIUM,PROVEN,Schema and resolver tests,None
AR-B003,P0,HIGH,loot,Implement deterministic assignment resolver,Inheritance and ambiguity are undefined,LootAssignmentResolver,AR-B002,New loot resolver,Global/family/type/boss/dyna overrides,MEDIUM,PROVEN,Golden precedence vectors,None
AR-B004,P0,HIGH,death_corpse,Extract corpse inventory state,Playfield owns remaining items credits handles and access,CorpseInventoryService,AR-B002;AR-B003,Playfield.cs:3293-3856,All NPC corpses,HIGH,PARTIAL,Exact packet and state-machine parity,Playfield corpse methods
AR-B005,P0,HIGH,world_population_static_dynamic,Define spawn group controller model,Population paths are source-specific,PopulationDefinitionRepository,AR-B001,OrdinaryEnemyRuntimeService;PlayfieldDbMobSpawnRuntimeService,All population categories,MEDIUM,PROVEN,Schema and duplicate/reference tests,None
AR-B006,P0,HIGH,respawn,Implement keyed scheduler,No shared timers cancellation scopes or recovery,RespawnScheduler,AR-B005,OrdinaryEnemyRuntimeService.ScheduleRespawnAfterDespawn,All spawn categories,HIGH,PARTIAL,Fake-clock scheduler tests,ordinary timer ownership
AR-B007,P1,HIGH,world_population_static_dynamic,Adapt ordinary runtime to population controller,PF127 path must become first global adapter,SpawnController,AR-B005;AR-B006,OrdinaryEnemyRuntimeService,PF127 ordinary rows,HIGH,PROVEN,259-row parity and 221 active boundary,None
AR-B008,P1,HIGH,world_population_static_dynamic,Adapt legacy DB mobs,DB materializer owns a separate path,SpawnController,AR-B005;AR-B006,PlayfieldDbMobSpawnRuntimeService,Legacy world mobs,HIGH,PARTIAL,Startup population parity,direct DB materialization
AR-B009,P1,HIGH,loot,Migrate existing loot adapters,DB captured debug and robot definitions remain duplicated,LootDefinitionRepository,AR-B002;AR-B003;AR-B004,Playfield loot methods;CapturedSubwayOrdinaryContentProvider,Existing corpse loot,HIGH,PARTIAL,Seeded result and packet parity,special/debug loot paths
AR-B010,P1,HIGH,dyna_camps_bosses,Create inactive dyna camp proposals,174 evidence rows lack runtime-safe model,DynaContentImporter,AR-B005,docs/generated/enemy_catalog/sources/dyna_boss_list_1.normalized.json,174 documented camps,MEDIUM,COMMUNITY_DOCUMENTED,Schema provenance and inactive-state tests,None
AR-B011,P1,HIGH,dyna_camps_bosses,Implement DynaCampController,No camp lifecycle boss/minion selection or shared respawn,DynaCampController,AR-B006;AR-B009;AR-B010,New dyna runtime,First reviewed camp then scalable model,HIGH,EVIDENCE_BLOCKED,Deterministic simulation and bounded live rollout,None
AR-B012,P1,MEDIUM,visibility_spatial_interest,Add population load budgets and queue metrics,Spatial selection does not pace dense packet bursts,Visibility diagnostics,AR-B007,PlayfieldVisibilityInterestRuntimeService,Dense camps and login,MEDIUM,PARTIAL,Deterministic PF127 and synthetic dense cases,None
AR-B013,P2,HIGH,mission_generation,Add mission and dungeon population adapters,Authored mission state does not share population lifecycle,MissionPopulationController,AR-B006;AR-B009,Arete mission services;SubwayContentModule,Missions and instances,HIGH,EVIDENCE_BLOCKED,Instance isolation determinism cleanup,None
AR-B014,P2,HIGH,bosses_scripted_encounters,Introduce narrow encounter module contract,One-off handlers can duplicate global systems,EncounterRuntime,AR-B009;AR-B011;AR-B013,Arete quest handlers and future bosses,Unique scripted mechanics,HIGH,EVIDENCE_BLOCKED,Capability and data-only boss guards,one-off global behavior
AR-B015,P2,HIGH,persistence,Persist durable population state,Restart semantics are undefined,PopulationStateStore,AR-B006;AR-B011;AR-B014,AORebirth.Database new approved model,Camps events lockouts recoverable instances,HIGH,EVIDENCE_BLOCKED,Versioned restart snapshot tests,None
AR-B016,P2,MEDIUM,content_loading,Create common evidence-to-content pipeline,DB JSON C# captures and workbooks use separate promotion rules,ContentPipeline,AR-B002;AR-B005,Tools;tools-temp;PlayfieldContentCoordinator,All content sources,MEDIUM,PROVEN,Duplicate reference range confidence validation,generated C# arrays
AR-B017,P2,MEDIUM,pets_summons,Remove global pet pool scan,Owner restore enumerates all pooled characters,PetRuntimeService,AR-B005,PetRuntimeService.cs:749,Pet lifecycle at world scale,MEDIUM,PROVEN,Owner registry parity test,global scan
AR-B018,P3,LOW,configuration,Centralize typed validated configuration,Only some policies fail closed,RuntimeConfiguration,AR-B001,App.config and policy classes,All new global services,LOW,PROVEN,Malformed boundary tests,None
